113.190.218.171 - - [05/May/2017:14:09:08 +0700] "GET /WebBanHang HTTP/1.1" 302 -
113.190.218.171 - - [05/May/2017:14:09:09 +0700] "GET /WebBanHang/ HTTP/1.1" 200 89042
113.190.218.171 - - [05/May/2017:14:09:09 +0700] "GET /WebBanHang/frontend/css/single.css HTTP/1.1" 304 -
113.190.218.171 - - [05/May/2017:14:09:09 +0700] "GET /WebBanHang/frontend/css/style.css HTTP/1.1" 304 -
113.190.218.171 - - [05/May/2017:14:09:09 +0700] "GET /WebBanHang/frontend/css/font-awesome.min.css HTTP/1.1" 304 -
113.190.218.171 - - [05/May/2017:14:09:09 +0700] "GET /WebBanHang/frontend/css/bootstrap.css HTTP/1.1" 304 -
113.190.218.171 - - [05/May/2017:14:09:09 +0700] "GET /WebBanHang/frontend/js/jquery-1.8.2.min.js HTTP/1.1" 304 -
113.190.218.171 - - [05/May/2017:14:09:09 +0700] "GET /WebBanHang/frontend/js/owl.carousel.js HTTP/1.1" 304 -
113.190.218.171 - - [05/May/2017:14:09:09 +0700] "GET /WebBanHang/frontend/js/common.js HTTP/1.1" 304 -
113.190.218.171 - - [05/May/2017:14:09:09 +0700] "GET /WebBanHang/frontend/js/bootstrap.min.js HTTP/1.1" 304 -
113.190.218.171 - - [05/May/2017:14:09:09 +0700] "GET /WebBanHang/frontend/css/nivo-slider.css HTTP/1.1" 304 -
113.190.218.171 - - [05/May/2017:14:09:09 +0700] "GET /WebBanHang/frontend/css/owl.theme.css HTTP/1.1" 304 -
113.190.218.171 - - [05/May/2017:14:09:09 +0700] "GET /WebBanHang/frontend/css/default.css HTTP/1.1" 304 -
113.190.218.171 - - [05/May/2017:14:09:09 +0700] "GET /WebBanHang/frontend/css/common.css HTTP/1.1" 304 -
113.190.218.171 - - [05/May/2017:14:09:09 +0700] "GET /WebBanHang/frontend/css/owl.carousel.css HTTP/1.1" 304 -
113.190.218.171 - - [05/May/2017:14:09:09 +0700] "GET /WebBanHang/frontend/css/jquery-ui.css HTTP/1.1" 304 -
113.190.218.171 - - [05/May/2017:14:09:09 +0700] "GET /WebBanHang/frontend/js/jquery.nivo.slider.js HTTP/1.1" 304 -
113.190.218.171 - - [05/May/2017:14:09:09 +0700] "GET /WebBanHang/frontend/js/jquery-ui.js HTTP/1.1" 304 -
113.190.218.171 - - [05/May/2017:14:09:09 +0700] "GET /WebBanHang/frontend/pictures/logo.jpg HTTP/1.1" 304 -
113.190.218.171 - - [05/May/2017:14:09:09 +0700] "GET /WebBanHang/frontend/pictures/banner4.jpg HTTP/1.1" 304 -
113.190.218.171 - - [05/May/2017:14:09:09 +0700] "GET /WebBanHang/frontend/pictures/banner1.jpg HTTP/1.1" 304 -
113.190.218.171 - - [05/May/2017:14:09:09 +0700] "GET /WebBanHang/frontend/pictures/banner2.jpg HTTP/1.1" 304 -
113.190.218.171 - - [05/May/2017:14:09:09 +0700] "GET /WebBanHang/frontend/pictures/tv.gif HTTP/1.1" 304 -
113.190.218.171 - - [05/May/2017:14:09:09 +0700] "GET /WebBanHang/frontend/pictures/banner3.jpg HTTP/1.1" 304 -
113.190.218.171 - - [05/May/2017:14:09:09 +0700] "GET /WebBanHang/upload/productimg/34996_pen_g4560.jpg HTTP/1.1" 304 -
113.190.218.171 - - [05/May/2017:14:09:09 +0700] "GET /WebBanHang/upload/productimg/30904_ram_avexir_core_series__blue.jpg HTTP/1.1" 304 -
113.190.218.171 - - [05/May/2017:14:09:09 +0700] "GET /WebBanHang/upload/productimg/31130_hyn_500.jpg HTTP/1.1" 304 -
113.190.218.171 - - [05/May/2017:14:09:09 +0700] "GET /WebBanHang/upload/productimg/35117_gheg304_001.jpg HTTP/1.1" 304 -
113.190.218.171 - - [05/May/2017:14:09:09 +0700] "GET /WebBanHang/upload/productimg/250_35322_ltas880_1.jpg HTTP/1.1" 304 -
113.190.218.171 - - [05/May/2017:14:09:09 +0700] "GET /WebBanHang/upload/productimg/33656_gheg281_001.jpg HTTP/1.1" 304 -
113.190.218.171 - - [05/May/2017:14:09:09 +0700] "GET /WebBanHang/upload/productimg/35212_01.jpg HTTP/1.1" 304 -
113.190.218.171 - - [05/May/2017:14:09:09 +0700] "GET /WebBanHang/upload/productimg/34327_01.jpg HTTP/1.1" 304 -
113.190.218.171 - - [05/May/2017:14:09:09 +0700] "GET /WebBanHang/upload/productimg/33260_01.jpeg HTTP/1.1" 304 -
113.190.218.171 - - [05/May/2017:14:09:09 +0700] "GET /WebBanHang/upload/productimg/35614_33482_01.jpg HTTP/1.1" 304 -
