42.112.158.207 - - [06/May/2017:23:30:40 +0700] "GET /WebBanHang/frontend/images/0x42.png HTTP/1.0" 200 2436
42.112.158.207 - - [06/May/2017:23:30:40 +0700] "GET /WebBanHang/frontend/images/1x42.png HTTP/1.0" 200 1746
42.112.158.207 - - [06/May/2017:23:30:40 +0700] "GET /WebBanHang/frontend/images/4x42.png HTTP/1.0" 200 2321
42.112.158.207 - - [06/May/2017:23:30:40 +0700] "GET /WebBanHang/frontend/images/2x42.png HTTP/1.0" 200 2300
42.112.158.207 - - [06/May/2017:23:30:40 +0700] "GET /WebBanHang/frontend/images/8x42.png HTTP/1.0" 200 2305
42.112.158.207 - - [06/May/2017:23:30:40 +0700] "GET /WebBanHang/frontend/images/5x42.png HTTP/1.0" 200 2198
42.112.158.207 - - [06/May/2017:23:30:40 +0700] "GET /WebBanHang/frontend/images/3x42.png HTTP/1.0" 200 2393
42.112.158.207 - - [06/May/2017:23:30:40 +0700] "GET /WebBanHang/frontend/images/arrows.png HTTP/1.0" 200 824
42.112.158.207 - - [06/May/2017:23:30:40 +0700] "GET /favicon.ico HTTP/1.0" 404 1016
42.112.158.207 - - [06/May/2017:23:30:46 +0700] "GET /WebBanHang/frontend/page.jsp?paction=register-account HTTP/1.0" 200 10564
42.112.158.207 - - [06/May/2017:23:30:47 +0700] "GET /WebBanHang/captcha-image.jpg HTTP/1.0" 200 2004
113.190.218.171 - - [06/May/2017:23:31:21 +0700] "GET /WebBanHang HTTP/1.1" 302 -
113.190.218.171 - - [06/May/2017:23:31:22 +0700] "GET /WebBanHang/ HTTP/1.1" 200 89937
113.190.218.171 - - [06/May/2017:23:31:22 +0700] "GET /WebBanHang/frontend/css/single.css HTTP/1.1" 304 -
113.190.218.171 - - [06/May/2017:23:31:22 +0700] "GET /WebBanHang/frontend/css/font-awesome.min.css HTTP/1.1" 304 -
113.190.218.171 - - [06/May/2017:23:31:22 +0700] "GET /WebBanHang/frontend/css/bootstrap.css HTTP/1.1" 304 -
113.190.218.171 - - [06/May/2017:23:31:22 +0700] "GET /WebBanHang/frontend/js/jquery-1.8.2.min.js HTTP/1.1" 304 -
113.190.218.171 - - [06/May/2017:23:31:22 +0700] "GET /WebBanHang/frontend/js/owl.carousel.js HTTP/1.1" 304 -
113.190.218.171 - - [06/May/2017:23:31:22 +0700] "GET /WebBanHang/frontend/css/style.css HTTP/1.1" 304 -
113.190.218.171 - - [06/May/2017:23:31:22 +0700] "GET /WebBanHang/frontend/js/bootstrap.min.js HTTP/1.1" 304 -
113.190.218.171 - - [06/May/2017:23:31:22 +0700] "GET /WebBanHang/frontend/js/common.js HTTP/1.1" 200 21929
113.190.218.171 - - [06/May/2017:23:31:22 +0700] "GET /WebBanHang/frontend/css/common.css HTTP/1.1" 304 -
113.190.218.171 - - [06/May/2017:23:31:22 +0700] "GET /WebBanHang/frontend/css/owl.theme.css HTTP/1.1" 304 -
113.190.218.171 - - [06/May/2017:23:31:22 +0700] "GET /WebBanHang/frontend/css/nivo-slider.css HTTP/1.1" 304 -
113.190.218.171 - - [06/May/2017:23:31:22 +0700] "GET /WebBanHang/frontend/css/jquery-ui.css HTTP/1.1" 304 -
113.190.218.171 - - [06/May/2017:23:31:22 +0700] "GET /WebBanHang/frontend/css/default.css HTTP/1.1" 304 -
113.190.218.171 - - [06/May/2017:23:31:22 +0700] "GET /WebBanHang/frontend/css/owl.carousel.css HTTP/1.1" 304 -
113.190.218.171 - - [06/May/2017:23:31:22 +0700] "GET /WebBanHang/frontend/js/jquery.nivo.slider.js HTTP/1.1" 304 -
113.190.218.171 - - [06/May/2017:23:31:22 +0700] "GET /WebBanHang/frontend/js/jquery-ui.js HTTP/1.1" 304 -
113.190.218.171 - - [06/May/2017:23:31:22 +0700] "GET /WebBanHang/frontend/pictures/logo.jpg HTTP/1.1" 304 -
113.190.218.171 - - [06/May/2017:23:31:22 +0700] "GET /WebBanHang/frontend/pictures/banner4.jpg HTTP/1.1" 304 -
113.190.218.171 - - [06/May/2017:23:31:22 +0700] "GET /WebBanHang/frontend/pictures/banner1.jpg HTTP/1.1" 304 -
113.190.218.171 - - [06/May/2017:23:31:22 +0700] "GET /WebBanHang/frontend/pictures/banner2.jpg HTTP/1.1" 304 -
113.190.218.171 - - [06/May/2017:23:31:22 +0700] "GET /WebBanHang/frontend/pictures/tv.gif HTTP/1.1" 304 -
